sample_id	patient_id	cell_type	tumor_control_status	HALLMARK_PROTEIN_SECRETION	HALLMARK_SPERMATOGENESIS	MEblack	MEblue	MEgreen	MEtan	MEgreenyellow	dataset_id
N10|endothelial	N10	endothelial	CONTROL_PANCREAS	0.653446972602507	0.0827920039528457	0.263171275592095	0.301166495239036	0.301833684146624	0.242638200374922	0.389795364959344	PENG_CRA001160
N10|fibroblast_caf	N10	fibroblast_caf	CONTROL_PANCREAS	0.62672074041262	0.0616178471481555	0.325855826604752	0.331691958505206	0.340398200123717	0.306064986461154	0.407727556759008	PENG_CRA001160
N10|myeloid	N10	myeloid	CONTROL_PANCREAS	0.64498295093991	0.098667681840763	0.325657032235931	0.335341398663363	0.327972710877862	0.295792543220163	0.407962570690855	PENG_CRA001160
N10|nonmalignant_epithelial	N10	nonmalignant_epithelial	CONTROL_PANCREAS	0.661230402062365	0.0912555898616258	0.233546013698127	0.288719560858956	0.32916917434496	0.237275151010206	0.4686696560858	PENG_CRA001160
N11|endothelial	N11	endothelial	CONTROL_PANCREAS	0.644347552760108	0.074718975508664	0.259812600316111	0.265459980774338	0.277411531726534	0.216641533013956	0.399265090213124	PENG_CRA001160
N11|fibroblast_caf	N11	fibroblast_caf	CONTROL_PANCREAS	0.625240677723313	0.0675647812184267	0.30240360464119	0.308519881668412	0.305272142842938	0.265574671943345	0.368133604241255	PENG_CRA001160
N11|myeloid	N11	myeloid	CONTROL_PANCREAS	0.638752717006345	0.0604770584010768	0.292046693703518	0.316104677504898	0.297080486791382	0.275730472818163	0.366534094705113	PENG_CRA001160
N11|nonmalignant_epithelial	N11	nonmalignant_epithelial	CONTROL_PANCREAS	0.649598325301042	0.103417813164967	0.239552115368122	0.283618067828079	0.328984853448664	0.224303686731931	0.442118976785497	PENG_CRA001160
N1|endothelial	N1	endothelial	CONTROL_PANCREAS	0.637422568881377	0.0961398701443925	0.269315216192705	0.281642104916573	0.272724275407447	0.214617787960841	0.372591008948607	PENG_CRA001160
N1|fibroblast_caf	N1	fibroblast_caf	CONTROL_PANCREAS	0.653780136563026	0.0954096848527405	0.274634573679503	0.279381085412475	0.273458942284847	0.201447198500312	0.366066817840623	PENG_CRA001160
N1|myeloid	N1	myeloid	CONTROL_PANCREAS	0.646521978885384	0.0807374897785521	0.30153675092199	0.314565908734647	0.290120881432784	0.242078733597167	0.36265086283125	PENG_CRA001160
N1|nonmalignant_epithelial	N1	nonmalignant_epithelial	CONTROL_PANCREAS	0.655983089096263	0.112985051699513	0.259250217479202	0.272471012983407	0.300762717984842	0.199613830451989	0.446563019496724	PENG_CRA001160
N2|endothelial	N2	endothelial	CONTROL_PANCREAS	0.64103373712447	0.075188965016142	0.260949618339317	0.277044909744605	0.276954759215784	0.215137679650073	0.37630996687011	PENG_CRA001160
N2|fibroblast_caf	N2	fibroblast_caf	CONTROL_PANCREAS	0.646295443595705	0.0686136883268775	0.266624600267101	0.277949754167768	0.273184815977409	0.223548010831077	0.36005824258311	PENG_CRA001160
N2|myeloid	N2	myeloid	CONTROL_PANCREAS	0.647574763871819	0.0709907459539167	0.274020118357695	0.289568073947938	0.299948503190814	0.245235159341804	0.362752649801732	PENG_CRA001160
N2|nonmalignant_epithelial	N2	nonmalignant_epithelial	CONTROL_PANCREAS	0.661422206865629	0.110865786552152	0.238924795079456	0.264424507780811	0.314522937537092	0.198332430743595	0.455121378014801	PENG_CRA001160
N3|endothelial	N3	endothelial	CONTROL_PANCREAS	0.60051413861372	0.108370583758035	0.297306014678315	0.304968717141548	0.300228490923687	0.26446406998542	0.363712355523417	PENG_CRA001160
N3|fibroblast_caf	N3	fibroblast_caf	CONTROL_PANCREAS	0.576055044927416	0.0528443383678405	0.309892853204602	0.330089736459542	0.340631087116481	0.290967298479484	0.420406912081996	PENG_CRA001160
N3|myeloid	N3	myeloid	CONTROL_PANCREAS	0.552117680133938	0.127880648909882	0.352369604371638	0.360847289117171	0.350311963901992	0.329014788585711	0.40997355110767	PENG_CRA001160
N3|nonmalignant_epithelial	N3	nonmalignant_epithelial	CONTROL_PANCREAS	0.630554010615489	0.122663343600489	0.257148326941691	0.298600126978131	0.322943084512334	0.232862320349927	0.437926847001214	PENG_CRA001160
N4|endothelial	N4	endothelial	CONTROL_PANCREAS	0.625868795078539	0.0784491489656117	0.248932514059571	0.281682581879062	0.293264070822766	0.219337637992085	0.386616781881133	PENG_CRA001160
N4|fibroblast_caf	N4	fibroblast_caf	CONTROL_PANCREAS	0.627980628646243	0.0701913922992049	0.295640614087752	0.316605145978321	0.319282205654391	0.271121849614664	0.373831316588919	PENG_CRA001160
